365	HalEnableSecureTrayEject	stdcall
366	HalWriteSMCScratchRegister	stdcall
370	XProfpControl	?
371	XProfpGetData	?
372	IrtClientInitFast	?
373	IrtSweep	?
374	MmDbgAllocateMemory	stdcall
375	MmDbgFreeMemory	stdcall
376	MmDbgQueryAvailablePages	stdcall
377	MmDbgReleaseAddress	stdcall
378	MmDbgWriteCheck	stdcall
